"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"RecetaPrescripcionCl","MedicationRequest.dosageInstruction.doseAndRate.type","MedicationRequest.dosageInstruction.doseAndRate.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The kind of dose or rate specified","The kind of dose or rate specified, for example, ordered or calculated.","","If the type is not populated, assume to be ""ordered"".","","","","","","","",,"example","The kind of dose or rate specified.","http://hl7.org/fhir/ValueSet/dose-rate-type","",,,,"Dosage.doseAndRate.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dosageInstruction.doseAndRate.dose[x]","MedicationRequest.dosageInstruction.doseAndRate.dose[x]","","","",0,1,"Y","","Y","Range {[]} {[]}
Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}","Amount of medication per dose","Amount of medication per dose.","Note that this specifies the quantity of the specified medication, not the quantity for each active ingredient(s). Each ingredient amount can be communicated in the Medication resource. For example, if one wants to communicate that a tablet was 375 mg, where the dose was one tablet, you can use the Medication resource to document that the tablet was comprised of 375 mg of drug XYZ. Alternatively if the dose was 375 mg, then you may only need to use the Medication resource to indicate this was a tablet. If the example were an IV such as dopamine and you wanted to communicate that 400mg of dopamine was mixed in 500 ml of some IV solution, then this would all be communicated in the Medication resource. If the administration is not intended to be instantaneous (rate is present or timing has a duration), this can be specified to convey the total amount to be administered over the period of time as indicated by the schedule e.g. 500 ml in dose, with timing used to convey that this should be done over 4 hours.","The amount of therapeutic or other substance given at one administration event.","","","","","","","",,,,,"",,,,"Dosage.doseAndRate.dose[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dosageInstruction.doseAndRate.rate[x]","MedicationRequest.dosageInstruction.doseAndRate.rate[x]","","","",0,1,"","","Y","Ratio {[]} {[]}
Range {[]} {[]}Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}","Amount of medication per unit of time","Amount of medication per unit of time.","It is possible to supply both a rate and a doseQuantity to provide full details about how the medication is to be administered and supplied. If the rate is intended to change over time, depending on local rules/regulations, each change should be captured as a new version of the MedicationRequest with an updated rate, or captured with a new MedicationRequest with the new rate.It is possible to specify a rate over time (for example, 100 ml/hour) using either the rateRatio and rateQuantity.  The rateQuantity approach requires systems to have the capability to parse UCUM grammer where ml/hour is included rather than a specific ratio where the time is specified as the denominator.  Where a rate such as 500ml over 2 hours is specified, the use of rateRatio may be more semantically correct than specifying using a rateQuantity of 250 mg/hour.","Identifies the speed with which the medication was or will be introduced into the patient. Typically the rate for an infusion e.g. 100 ml per 1 hour or 100 ml/hr.  May also be expressed as a rate per unit of time e.g. 500 ml per 2 hours.   Other examples: 200 mcg/min or 200 mcg/1 minute; 1 liter/8 hours.  Sometimes, a rate can imply duration when expressed as total volume / duration (e.g.  500mL/2 hours implies a duration of 2 hours).  However, when rate doesn't imply duration (e.g. 250mL/hour), then the timing.repeat.duration is needed to convey the infuse over time period.","","","","","","","",,,,,"",,,,"Dosage.doseAndRate.rate[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dosageInstruction.maxDosePerPeriod","MedicationRequest.dosageInstruction.maxDosePerPeriod","","","",0,1,"","","Y","Ratio {[]} {[]}
","Upper limit on medication per unit of time","Upper limit on medication per unit of time.","This is intended for use as an adjunct to the dosage when there is an upper cap.  For example ""2 tablets every 4 hours to a maximum of 8/day"".","The maximum total quantity of a therapeutic substance that may be administered to a subject over the period of time.  For example, 1000mg in 24 hours.","","","","","","","",,,,,"",,,,"Dosage.maxDosePerPeriod",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dosageInstruction.maxDosePerAdministration","MedicationRequest.dosageInstruction.maxDosePerAdministration","","","",0,1,"","","Y","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Upper limit on medication per administration","Upper limit on medication per administration.","This is intended for use as an adjunct to the dosage when there is an upper cap.  For example, a body surface area related dose with a maximum amount, such as 1.5 mg/m2 (maximum 2 mg) IV over 5 – 10 minutes would have doseQuantity of 1.5 mg/m2 and maxDosePerAdministration of 2 mg.","The maximum total quantity of a therapeutic substance that may be administered to a subject per administration.","","","","","","","",,,,,"",,,,"Dosage.maxDosePerAdministration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dosageInstruction.maxDosePerLifetime","MedicationRequest.dosageInstruction.maxDosePerLifetime","","","",0,1,"","","Y","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Upper limit on medication per lifetime of the patient","Upper limit on medication per lifetime of the patient.","","The maximum total quantity of a therapeutic substance that may be administered per lifetime of the subject.","","","","","","","",,,,,"",,,,"Dosage.maxDosePerLifetime",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest","MedicationRequest.dispenseRequest","","","",1,1,"Y","","","BackboneElement {[]} {[]}
","Autorización de la dispensación","Indicates the specific details for the dispense or medication supply part of a medication request (also known as a Medication Prescription or Medication Order).  Note that this information is not always sent with the order.  There may be in some settings (e.g. hospitals) institutional or system support for completing the dispense details in the pharmacy department.","","","","","","","","","",,,,,"",,,,"MedicationRequest.dispenseRequest",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.id","MedicationRequest.dispenseRequest.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.extension","MedicationRequest.dispenseRequest.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.modifierExtension","MedicationRequest.dispenseRequest.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.initialFill","MedicationRequest.dispenseRequest.initialFill","","","",0,1,"","","","BackboneElement {[]} {[]}
","First fill details","Indicates the quantity or duration for the first dispense of the medication.","If populating this element, either the quantity or the duration must be included.","","","","","","","","",,,,,"",,,,"MedicationRequest.dispenseRequest.initialFill",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.initialFill.id","MedicationRequest.dispenseRequest.initialFill.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.initialFill.extension","MedicationRequest.dispenseRequest.initialFill.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.initialFill.modifierExtension","MedicationRequest.dispenseRequest.initialFill.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.initialFill.quantity","MedicationRequest.dispenseRequest.initialFill.quantity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","First fill quantity","The amount or quantity to provide as part of the first dispense.","","","","","","","","","",,,,,"",,,,"MedicationRequest.dispenseRequest.initialFill.quantity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.initialFill.duration","MedicationRequest.dispenseRequest.initialFill.duration","","","",0,1,"","","","Duration {[]} {[]}
","First fill duration","The length of time that the first dispense is expected to last.","","","","","","","","","",,,,,"",,,,"MedicationRequest.dispenseRequest.initialFill.duration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.dispenseInterval","MedicationRequest.dispenseRequest.dispenseInterval","","","",0,1,"","","","Duration {[]} {[]}
","Minimum period of time between dispenses","The minimum period of time that must occur between dispenses of the medication.","","","","","","","","","",,,,,"",,,,"MedicationRequest.dispenseRequest.dispenseInterval",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.validityPeriod","MedicationRequest.dispenseRequest.validityPeriod","","","",1,1,"Y","","","Period {[]} {[]}
","Periodo de validez de la Prescripción","Periodo de validez de la Prescripción","It reflects the prescribers' perspective for the validity of the prescription. Dispenses must not be made against the prescription outside of this period. The lower-bound of the Dispensing Window signifies the earliest date that the prescription can be filled for the first time. If an upper-bound is not specified then the Prescription is open-ended or will default to a stale-date based on regulations.","Indicates when the Prescription becomes valid, and when it ceases to be a dispensable Prescription.","","","","","","","",,,,,"",,,,"MedicationRequest.dispenseRequest.validityPeriod",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.validityPeriod.id","MedicationRequest.dispenseRequest.validityPeriod.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.validityPeriod.extension","MedicationRequest.dispenseRequest.validityPeriod.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.validityPeriod.start","MedicationRequest.dispenseRequest.validityPeriod.start","","","",1,1,"Y","","Y","dateTime {[]} {[]}
","Fecha de inicio de la validez de la prescripción. El formato es YYYY-MM-DD","Fecha de inicio de la validez de la prescripción. El formato es YYYY-MM-DD","If the low element is missing, the meaning is that the low boundary is not known.","","","","","","","","",,,,,"",,,,"Period.start",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.validityPeriod.end","MedicationRequest.dispenseRequest.validityPeriod.end","","","",1,1,"Y","","Y","dateTime {[]} {[]}
","Fecha de fin de la validez de la prescripción. El formato es YYYY-MM-DD","Fecha de fin de la validez de la prescripción. El formato es YYYY-MM-DD","The high value includes any matching date/time. i.e. 2012-02-03T10:00:00 is in a period that has an end value of 2012-02-03.","","","If the end of the period is missing, it means that the period is ongoing","","","","","",,,,,"",,,,"Period.end",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.numberOfRepeatsAllowed","MedicationRequest.dispenseRequest.numberOfRepeatsAllowed","","","",0,1,"","","","unsignedInt {[]} {[]}
","Number of refills authorized","An integer indicating the number of times, in addition to the original dispense, (aka refills or repeats) that the patient can receive the prescribed medication. Usage Notes: This integer does not include the original order dispense. This means that if an order indicates dispense 30 tablets plus ""3 repeats"", then the order can be dispensed a total of 4 times and the patient can receive a total of 120 tablets.  A prescriber may explicitly say that zero refills are permitted after the initial dispense.","If displaying ""number of authorized fills"", add 1 to this number.","","","","","","","","",,,,,"",,,,"MedicationRequest.dispenseRequest.numberOfRepeatsAllowed",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.quantity","MedicationRequest.dispenseRequest.quantity","","","",0,1,"Y","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Cantidad de medicamento sugerido para dispensar","The amount that is to be dispensed for one fill.","","","","","","","","","",,,,,"",,,,"MedicationRequest.dispenseRequest.quantity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.quantity.id","MedicationRequest.dispenseRequest.quantity.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.quantity.extension","MedicationRequest.dispenseRequest.quantity.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.quantity.value","MedicationRequest.dispenseRequest.quantity.value","","","",0,1,"Y","","Y","decimal {[]} {[]}
","Valor de la cantidad del medicamento sugerido para dispensar. Obligatorio para fármacos sujetos a condición de expendio receta retenida con control de existencia o receta cheque.","Valor de la cantidad del medicamento sugerido para dispensar. Obligatorio para fármacos sujetos a condición de expendio receta retenida con control de existencia o receta cheque.","Obligatorio para fármaco Controlado","Precision is handled implicitly in almost all cases of measurement.","","","","","","","",,,,,"",,,,"Quantity.value",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.quantity.comparator","MedicationRequest.dispenseRequest.quantity.comparator","","","",0,0,"","Y","Y","code {[]} {[]}
","< | <= | >= | > - how to understand the value","Not allowed to be used in this context","","Need a framework for handling measures where the value is <5ug/L or >400mg/L due to the limitations of measuring methodology.","","If there is no comparator, then there is no modification of the value","","","","","",,"required","How the Quantity should be understood and represented.","http://hl7.org/fhir/ValueSet/quantity-comparator|4.0.1","",,,,"Quantity.comparator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.quantity.unit","MedicationRequest.dispenseRequest.quantity.unit","","","",0,1,"","","Y","string {[]} {[]}
","Unit representation","A human-readable form of the unit.","","There are many representations for units of measure and in many contexts, particular representations are fixed and required. I.e. mcg for micrograms.","","","","","","","",,,,,"",,,,"Quantity.unit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.quantity.system","MedicationRequest.dispenseRequest.quantity.system","","","",0,1,"","","Y","uri {[]} {[]}
","System that defines coded unit form","The identification of the system that provides the coded form of the unit.","","Need to know the system that defines the coded form of the unit.","","","","","","","",,,,,"",,,,"Quantity.system",0,1,"qty-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.quantity.code","MedicationRequest.dispenseRequest.quantity.code","","","",0,1,"","","Y","code {[]} {[]}
","Coded form of the unit","A computer processable form of the unit in some unit representation system.","The preferred system is UCUM, but SNOMED CT can also be used (for customary units) or ISO 4217 for currency.  The context of use may additionally require a code from a particular system.","Need a computable form of the unit that is fixed across all forms. UCUM provides this for quantities, but SNOMED CT provides many units of interest.","","","","","","","",,,,,"",,,,"Quantity.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.expectedSupplyDuration","MedicationRequest.dispenseRequest.expectedSupplyDuration","","","",0,1,"Y","","","Duration {[]} {[]}
","Número de días que se espera que alcance lo que se dispensará","Identifies the period time over which the supplied product is expected to be used, or the length of time the dispense is expected to last.","In some situations, this attribute may be used instead of quantity to identify the amount supplied by how long it is expected to last, rather than the physical quantity issued, e.g. 90 days supply of medication (based on an ordered dosage). When possible, it is always better to specify quantity, as this tends to be more precise. expectedSupplyDuration will always be an estimate that can be influenced by external factors.","","","","","","","","",,,,,"",,,,"MedicationRequest.dispenseRequest.expectedSupplyDuration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.expectedSupplyDuration.id","MedicationRequest.dispenseRequest.expectedSupplyDuration.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.expectedSupplyDuration.extension","MedicationRequest.dispenseRequest.expectedSupplyDuration.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.expectedSupplyDuration.value","MedicationRequest.dispenseRequest.expectedSupplyDuration.value","","","",0,1,"Y","","Y","decimal {[]} {[]}
","Valor de la unidad de duración","Valor de la unidad de duración","The implicit precision in the value should always be honored. Monetary values have their own rules for handling precision (refer to standard accounting text books).","Precision is handled implicitly in almost all cases of measurement.","","","","","","","",,,,,"",,,,"Quantity.value",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.expectedSupplyDuration.comparator","MedicationRequest.dispenseRequest.expectedSupplyDuration.comparator","","","",0,1,"","Y","Y","code {[]} {[]}
","< | <= | >= | > - how to understand the value","How the value should be understood and represented - whether the actual value is greater or less than the stated value due to measurement issues; e.g. if the comparator is ""<"" , then the real value is < stated value.","","Need a framework for handling measures where the value is <5ug/L or >400mg/L due to the limitations of measuring methodology.","","If there is no comparator, then there is no modification of the value","","","","","",,"required","How the Quantity should be understood and represented.","http://hl7.org/fhir/ValueSet/quantity-comparator|4.0.1","",,,,"Quantity.comparator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.expectedSupplyDuration.unit","MedicationRequest.dispenseRequest.expectedSupplyDuration.unit","","","",0,1,"Y","","Y","string {[]} {[]}
","Unidad temporal según UCUM","Unidad temporal según UCUM","","There are many representations for units of measure and in many contexts, particular representations are fixed and required. I.e. mcg for micrograms.","","","","","","","",,,,,"",,,,"Quantity.unit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.expectedSupplyDuration.system","MedicationRequest.dispenseRequest.expectedSupplyDuration.system","","","",0,1,"Y","","Y","uri {[]} {[]}
","Sistema de códigos temporales según UCUM","Sistema de códigos temporales según UCUM","","Need to know the system that defines the coded form of the unit.","","","","","","","",,,,,"",,,,"Quantity.system",0,1,"qty-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.expectedSupplyDuration.code","MedicationRequest.dispenseRequest.expectedSupplyDuration.code","","","",0,1,"Y","","Y","code {[]} {[]}
","Código según UCUM","Código según UCUM","The preferred system is UCUM, but SNOMED CT can also be used (for customary units) or ISO 4217 for currency.  The context of use may additionally require a code from a particular system.","Need a computable form of the unit that is fixed across all forms. UCUM provides this for quantities, but SNOMED CT provides many units of interest.","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/age-units","",,,,"Quantity.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.performer","MedicationRequest.dispenseRequest.performer","","","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Recinto donde se direcciona para que dispense. Obligatorio en Sector Público","Se debe referenciar a la API disponible. Obligatorio si es prescriptor público","Obligatorio si es prescriptor público.","","","","","","","","",,,,,"",,,,"MedicationRequest.dispenseRequest.performer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.performer.id","MedicationRequest.dispenseRequest.performer.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.performer.extension","MedicationRequest.dispenseRequest.performer.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RecetaPrescripcionCl","MedicationRequest.dispenseRequest.performer.reference","MedicationRequest.dispenseRequest.performer.reference","","","",0,1,"Y","","Y","string {[]} {[]}
","Recurso referenciado.","Recurso referenciado.","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
